hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
Ruby,IHG,urban micro market (no specific city mentioned),USA,USA,early 2028,,,luxury/upscale,new_construction,IHG Hotels & Resorts,not mentioned,not mentioned,$116 million,"rainfall showers, premium fixtures, public spaces and 24/7 coffee and cocktail bars",targeting urban micro market with differentiated product and strong economics,Jolyon Bulley,CEO for the Americas region,not mentioned,not mentioned,IHG Hotels & Resorts,LOW,🔵 COLD,Opening in 26 months - too early,26,LATER,0.85,https://www.hoteldive.com/news/ihg-brings-ruby-brand-to-us/760967/,Hotel Dive,2026-01-29T10:46:00.304381
Six Senses RiverStone Estate,Six Senses,Foxburg,Pennsylvania,USA,2028,,,luxury,new_construction,IHG Hotels & Resorts,IHG Hotels & Resorts,IHG Hotels & Resorts,,"off-grid vibe, luxurious amenities, 16,000-square-foot Six Senses Spa, equestrian center with 22,000-square-foot riding arena",expanding rapidly in the U.S. amid IHG’s luxury and lifestyle push,Leanne Harwood,Senior Vice President of Luxury and Lifestyle for the Americas Region,,,IHG Hotels & Resorts,LOW,🔵 COLD,Opening in 29 months - too early,29,LATER,0.85,https://www.hoteldive.com/news/six-senses-pennsylvania-expansion/727462/,Hotel Dive,2026-01-29T10:52:03.881964
Six Senses South Carolina Islands,Six Senses,Hilton Head Island,South Carolina,USA,2026,,,luxury/resort,new_construction,IHG Hotels & Resorts,Whitestone Resources,"Redrock Portfolio, Inc.",$,"spa, pool, beach club, restaurant, golf course, equine therapy","multi-island guest experience, wellness-focused spa and residential community",Noelle Mateer,Editor,,,Hotel Dive,MEDIUM,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.85,https://www.hoteldive.com/news/six-senses-opens-south-carolina-resort/708852/,Hotel Dive,2026-01-29T10:53:06.525563
The Knox Hotel,Auberge Collection,Dallas,Texas,USA,late 2026,140,confirmed,luxury,new_construction,Auberge Collection,,,,"second-floor restaurant, outdoor pool, spa, movement studio","luxury lifestyle development, 4-acre complex with retail shops and restaurants, offices and a new park",,,,,,,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.85,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
"The Resort at Pelican Hill, A St. Regis Estate",St. Regis,Newport Beach,California,USA,2027,,,luxury,repositioning,Marriott International,,,,"36-hole golf courses, upgraded bungalows and villas, new culinary experiences and venues, Bella Vista Pool Caffè and Social Club","repositioning to cater to luxury travelers, enhancements to Villa Clubhouse and Coliseum pool",Kevin Kelly,General Manager,,,"The Resort at Pelican Hill, A St. Regis Estate",HIGH,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.85,https://www.hoteldive.com/news/marriott-regis-brand-extension-luxury-hospitality/807137/,Hotel Dive,2026-01-29T10:40:58.392646
The Huntington Hotel,,San Francisco,California,USA,26-Mar,143,confirmed,luxury,renovation,Highgate,Flynn Properties,,,"three-level spa, Big Four restaurant","reimagined experience, preservation of historical features",,,,,,,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.8,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
Motto by Hilton Nashville Downtown,Hilton,Nashville,Tennessee,USA,this week,260,confirmed,upscale,new_construction,,,Apple Hospitality,$98.2 million,Confirmed Connecting Room capabilities,"strong leisure demand, strengthening business demand",Nelson Knight,President of Real Estate and Investments,,,Apple Hospitality,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.8,https://www.hoteldive.com/news/apple-hospitality-motto-hilton-nashville-downtown/808592/,Hotel Dive,2026-01-29T10:38:24.035978
PUBLIC King Park View,PUBLIC,West Hollywood,California,USA,Spring,,,luxury,new_construction,"Highgate Hotels, L.P.",Ian Schrager Company,Ian Schrager,,,,Mahmood Khimji,"CEO, Highgate Hotels, L.P.",,,"Highgate Hotels, L.P.",LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.8,https://www.hospitalitynet.org/news/4130608.html,Hotel Dive,2026-01-29T10:42:46.017421
One Beverly Hills Aman Hotel,Aman,Beverly Hills,California,USA,2027,,,luxury,new_construction,,Cain International,,$10 billion,botanical gardens,targeted at ultra high-net worth individuals,Jonathan Goldstein,CEO,,,Cain International,LOW,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.75,https://www.hoteldive.com/news/one-beverly-hills-vertical-construction/807320/,Hotel Dive,2026-01-29T10:40:02.726288
LivAway Suites Mesa,LivAway Suites,Mesa,Arizona,USA,fall 2026,,,extended stay,new_construction,,West77 Partners,,,"full in-room kitchens, private bathrooms, 50-inch smart TVs","part of LivAway Suites' rapidly growing national development pipeline, targeting the premium economy market",Kevin Dailey,Chief Operating Officer,,,LivAway Suites,MEDIUM,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.75,https://www.hoteldive.com/news/livaway-suites-mesa-arizona-groundbreaking/807513/,Hotel Dive,2026-01-29T10:40:16.815486
Delano Miami Beach,,Miami Beach,Florida,USA,early 2026,171,confirmed,luxury,renovation,Ennismore,,,,"wellness studio, holistic social spa experience, four restaurant and bar concepts, Rose Bar","reimagined experience, preservation of historical features",,,,,,,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
voco Times Square – Broadway,voco,New York City,New York,USA,early 2026,,,upscale,new_construction,IHG Hotels & Resorts,,,,rooftop bar,"pet-friendly, cashless property",,,,,,,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
White Elephant Aspen,,Aspen,Colorado,USA,26-Feb,54,confirmed,luxury,new_construction,White Elephant Resorts,,,,"boot lounge, heated ski lockers, outdoor and technical gear by Alps & Meters sportswear brand",sophisticated brand of hospitality,,,,,,,⚫ MISSED,Opening in 1 months - uniforms likely purchased,1,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
The Cooper,,Charleston,South Carolina,USA,26-Mar,191,confirmed,luxury,new_construction,Beemok Hospitality Collection,,,,"7,000-square-foot spa, four on-site food and beverage destinations, on-site marina",luxury waterfront hotel,,,,,,,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
The Vanderpump Hotel,,Las Vegas,Nevada,USA,spring 2026,188,confirmed,luxury,renovation,Caesars Entertainment,,,,"glamorous new lounge, reimagined casino floor",full makeover,,,,,,,⚫ MISSED,Opening in 3 months - uniforms likely purchased,3,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
The Greenleigh Hotel,Autograph Collection,Houston,Texas,USA,spring 2026,299,confirmed,luxury,new_construction,,,,,"rooftop bar, dLeña restaurant, over 13,000 square feet of indoor/outdoor meetings and events space",luxury lifestyle property,,,,,,,⚫ MISSED,Opening in 3 months - uniforms likely purchased,3,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
Under Canvas White Mountains,Under Canvas,Dalton,New Hampshire,USA,26-Jun,,,luxury,new_construction,Under Canvas,,,,"safari-inspired canvas tents, private deck, ensuite bathroom, king-size bed, wood-burning stove",outdoor hospitality brand,,,,,,,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
Canopy by Hilton at Deer Valley,Canopy by Hilton,Heber City,Utah,USA,Q2 2026,,,luxury,new_construction,Hilton,,,,"pool, hot tub, steam room, sauna, fitness center, golf simulator, dedicated ski reception lobby and ski locker room","easy ski access, first ski-destination hotel for Canopy by Hilton brand",,,,,,,🔴 HOT,Opening in 4 months - UNIFORM DECISIONS NOW!,4,NOW,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
Signia by Hilton Indianapolis,Signia by Hilton,Indianapolis,Indiana,USA,fall 2026,,,luxury,new_construction,Hilton,,,,"over 90,000 square feet of meeting space, seven culinary concepts, rooftop bar and pool, fitness center, Club Signia","city's tallest hotel, direct access to convention center and Lucas Oil Stadium via skywalk",,,,,,,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
SongTeller Hotel,,Nashville,Tennessee,USA,26-Jun,245,confirmed,luxury,new_construction,,Herschend,,,"two entertainment venues, 20,000-square-foot museum dedicated to Dolly Parton's life and legacy",immersive storytelling elements inspired by Dolly Parton's songs and journey,,,,,,,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.7,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T10:36:04.709718
Bally's Bronx Hotel,Bally's,New York City,New York,USA,,500,confirmed,upscale,new_construction,,Bally's Corporation,,$4 billion,"500,000 square feet of gaming space, 2,000-person event center, parking, dining and entertainment venues","part of the largest private investment in the Bronx's history, includes community benefits",Soo Kim,Chairman of Bally's Corporation,,,Bally's Corporation,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.7,https://www.hoteldive.com/news/hotel-casinos-hard-rock-resorts-world-ballys-new-york/808239/,Hotel Dive,2026-01-29T10:39:08.163893
Hard Rock Hotel,Hard Rock,New York City,New York,USA,,,,upscale,new_construction,,Hard Rock International and Steve Cohen,,$8.1 billion,"casino, sportsbook, restaurants, bars, retail shopping, meetings and events space, 5,650-capacity theater-style venue","part of the Metropolitan Park project, includes a sports and entertainment district",Steve Cohen,Owner of the New York Mets,,,New York Mets,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.6,https://www.hoteldive.com/news/hotel-casinos-hard-rock-resorts-world-ballys-new-york/808239/,Hotel Dive,2026-01-29T10:39:08.163893
Resorts World New York City Hotel,,New York City,New York,USA,,2000,confirmed,upscale,expansion,,Genting Group,Genting Group,$7.5 billion,"500,000-square-foot gaming floor, 7,000-seat multipurpose entertainment venue, parking spaces, public green space","expansion of the existing slot machine establishment, includes hundreds of table games",Robert DeSalvio,President of Genting Americas East,,,Genting Group,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.6,https://www.hoteldive.com/news/hotel-casinos-hard-rock-resorts-world-ballys-new-york/808239/,Hotel Dive,2026-01-29T10:39:08.163893
